100,-0.0,0.2
150,-0.2,0.3
200,-0.5,0.4
250,-0.8,0.5
300,-1.2,0.6
350,-1.7,0.6
400,-2.1,0.7
450,-2.6,0.8
500,-3.1,0.9
550,-3.6,1.0
600,-4.2,1.1
650,-4.8,1.2
700,-5.4,1.3
750,-6.0,1.5
800,-6.7,1.6
850,-7.5,1.7
900,-8.2,1.8
950,-9.0,2.0
1000,-9.9,2.1
1050,-10.8,2.2
1100,-11.7,2.4
1150,-12.7,2.5
1200,-13.8,2.6
1250,-14.9,2.8
1300,-16.0,2.9
1350,-17.3,3.1
1400,-18.6,3.2
1450,-19.9,3.4
1500,-21.4,3.6
1550,-22.9,3.7
1600,-24.5,3.9
1650,-26.2,4.1
1700,-28.0,4.3
1750,-29.9,4.5
1800,-31.9,4.7
1850,-34.1,4.9
1900,-36.3,5.1
1950,-38.7,5.3
