100,-0.0,0.1  
150,-0.0,0.2  
200,-0.2,0.2  
250,-0.4,0.3  
300,-0.7,0.3  
350,-1.1,0.4  
400,-1.4,0.5  
450,-1.8,0.6  
500,-2.2,0.7  
550,-2.6,0.8  
600,-3.1,0.9  
650,-3.5,1.0  
700,-4.0,1.1  
750,-4.6,1.1  
800,-5.6,1.2  
850,-6.1,1.2  
900,-6.7,1.3  
950,-7.4,1.4  
1000,-8.0,1.5  
1050,-8.7,1.6  
1100,-9.4,1.7  
1150,-10.2,1.8  
1200,-10.9,1.9  
1250,-11.8,2.0  
1300,-12.6,2.2  
1350,-13.5,2.3  
1400,-14.5,2.4  
1450,-15.5,2.6  
1500,-16.5,2.7  
1550,-17.6,2.9  
1600,-18.7,3.0  
1650,-19.9,3.0  
1700,-21.1,3.1  
1750,-22.3,3.3  
1800,-23.6,3.4  
1850,-25.2,3.5  
1900,-26.7,3.8  
1950,-28.3,4.0  
2000,-29.9,4.1  
2050,-31.7,4.3  
2100,-33.5,4.4  
2150,-35.4,4.6  
2200,-37.4,4.8
